Job Title,Location,Salary,Monthly Salary,Locality,City,State
Robotics / STEM Trainer,"Indore, Madhya Pradesh","₹1,80,000 - ₹3,60,000 a year",270000.0,,Indore,Madhya Pradesh
HTML Developers - Freshers,"Banaswadi, Bengaluru, Karnataka",Not specified,,Banaswadi,Bengaluru,Karnataka
Java Developers - Freshers,"Banaswadi, Bengaluru, Karnataka",Not specified,,Banaswadi,Bengaluru,Karnataka
"Teachers - Pre-Primary and Primary (English, Mathematics, EVS and Computers)","Pulivendla, Andhra Pradesh","₹20,000 - ₹30,000 a month",25000.0,,Pulivendla,Andhra Pradesh
College Student,Remote,"₹15,000 - ₹20,000 a month",17500.0,Remote,Remote,Remote
Software Testers - Freshers,"Banaswadi, Bengaluru, Karnataka",Not specified,,Banaswadi,Bengaluru,Karnataka
Web Developer - Freshers,"Banaswadi, Bengaluru, Karnataka",Not specified,,Banaswadi,Bengaluru,Karnataka
Computer Operator and Data Entry - Freshers,"Banaswadi, Bengaluru, Karnataka",Not specified,,Banaswadi,Bengaluru,Karnataka
Back Office Assistant,Remote,"₹14,678 - ₹22,689 a month",18683.5,Remote,Remote,Remote
Customer Service Officer,Remote,"From ₹12,800 a month",,Remote,Remote,Remote
Recruiter,Remote,"₹12,000 - ₹25,000 a month",18500.0,Remote,Remote,Remote
Sales Advisor_ Work From Home,Remote,"₹10,000 - ₹25,000 a month",17500.0,Remote,Remote,Remote
Junior Python Developer,"Kochi, Kerala","₹35,000 - ₹55,000 a month",45000.0,,Kochi,Kerala
Customer Support - Trainee,Remote,"₹3,00,000 - ₹6,00,000 a year",450000.0,Remote,Remote,Remote
Fresher KYC Verification Executive,"Indraprastha H.O, Delhi, Delhi","₹17,000 - ₹23,000 a month",20000.0,Indraprastha H.O,Delhi,Delhi
Trainee,"Powai, Mumbai, Maharashtra","₹4,00,000 - ₹6,00,000 a year",500000.0,Powai,Mumbai,Maharashtra
Chat Support Representative- Mohali,"Mohali, Punjab","₹30,000 - ₹35,000 a month",32500.0,,Mohali,Punjab
"Fresher (ITI , Diploma or Any Degree)","Erode, Tamil Nadu","₹12,000 - ₹15,000 a month",13500.0,,Erode,Tamil Nadu
Python Intern Trainee,"Kulasegaram, Tamil Nadu","₹8,500 - ₹22,000 a month",15250.0,,Kulasegaram,Tamil Nadu
Software Engineer Trainee - Freshers,"Tirunelveli, Tamil Nadu",Not specified,,,Tirunelveli,Tamil Nadu
Programmer Trainee,Remote,"From ₹2,71,362.01 a year",,Remote,Remote,Remote
Quality Analyst,Remote,"₹2,80,000 - ₹3,50,000 a year",315000.0,Remote,Remote,Remote
Data Entry Operator,"Hassan, Karnataka",Not specified,,,Hassan,Karnataka
Mobile App Developer - Freshers,"Banaswadi, Bengaluru, Karnataka",Not specified,,Banaswadi,Bengaluru,Karnataka
Mega Walk-in drive Customer Service Representative- Fresher's,"Noida, Uttar Pradesh","₹13,000 - ₹17,000 a month",15000.0,,Noida,Uttar Pradesh
Python Developer Trainee,Kerala,Not specified,,Kerala,Kerala,Kerala
Junior Data Scientist,"Bengaluru, Karnataka","₹2,50,000 - ₹5,00,000 a year",375000.0,,Bengaluru,Karnataka
Digital Marketing - Freshers,"Banaswadi, Bengaluru, Karnataka",Not specified,,Banaswadi,Bengaluru,Karnataka
Receptionist,"Thrissur, Kerala",Not specified,,,Thrissur,Kerala
Web Developer - Fresher,"Madurai, Tamil Nadu",Not specified,,,Madurai,Tamil Nadu
Document verification (office Fresher Applied Now),"Delhi Cantt, Delhi, Delhi","₹10,914.81 - ₹21,867.53 a month",16391.17,Delhi Cantt,Delhi,Delhi
Graduate Trainee,Remote,Not specified,,Remote,Remote,Remote
Internship JOB Opening for freshers,Remote,"₹8,000 - ₹15,000 a month",11500.0,Remote,Remote,Remote
Consultant Doctor,"Tirupati, Andhra Pradesh","₹20,000 - ₹25,000 a month",22500.0,,Tirupati,Andhra Pradesh
Software Trainees,"Bengaluru, Karnataka",Not specified,,,Bengaluru,Karnataka
Back Office Assistant,"Pimpri-Chinchwad, Maharashtra","₹28,000 - ₹34,000 a month",31000.0,,Pimpri-Chinchwad,Maharashtra
Digital Marketing Intern,Remote,"₹10,000 - ₹15,000 a month",12500.0,Remote,Remote,Remote
Fresher - Malayalam,"Coimbatore, Tamil Nadu","₹8,086.00 - ₹26,786.74 a month",17436.370000000003,,Coimbatore,Tamil Nadu
Call Quality Analyst,"Bengaluru, Karnataka","₹4,00,000 - ₹5,00,000 a year",450000.0,,Bengaluru,Karnataka
Marketing Intern,"Anantapur, Andhra Pradesh",Not specified,,,Anantapur,Andhra Pradesh
Junior Engineers(Freshers),"Kochi, Kerala",Not specified,,,Kochi,Kerala
Social Media Manager,Remote,"From ₹32,000 a month",,Remote,Remote,Remote
HR Assistant,"Madurai, Tamil Nadu","₹12,000 - ₹15,000 a month",13500.0,,Madurai,Tamil Nadu
Digital Marketing Intern,Remote,"₹2,000 - ₹5,000 a day",3500.0,Remote,Remote,Remote
Fresh Graduates (Male),"Singanallur, Tamil Nadu",Not specified,,,Singanallur,Tamil Nadu
Manager,"Idukki, Kerala",Not specified,,,Idukki,Kerala
Freshers - Trainee,"Hyderabad, Telangana",Not specified,,,Hyderabad,Telangana
Hiring Freshers for Bangalore Location ( Budget upto 45k inhand),"Bengaluru, Karnataka","₹30,000 - ₹50,000 a month",40000.0,,Bengaluru,Karnataka
Phone Banking Officer,"Jaipur, Rajasthan","₹2,00,000 - ₹3,50,000 a year",275000.0,,Jaipur,Rajasthan
"Trainee Engineer, Fresher","Indore, Madhya Pradesh",Not specified,,,Indore,Madhya Pradesh
Content Creator,Remote,"₹30,000 - ₹60,000 a month",45000.0,Remote,Remote,Remote
Social Media Manager,Remote,"₹11,347.87 - ₹43,137.86 a month",27242.865,Remote,Remote,Remote
Amazon Advertising Executive,"Thrissur, Kerala","₹14,000 - ₹17,500 a month",15750.0,,Thrissur,Kerala
Software Engineer,"Pune, Maharashtra",Not specified,,,Pune,Maharashtra
Administration/Office Manager,"Thrissur, Kerala","₹15,000 - ₹25,000 a month",20000.0,,Thrissur,Kerala
Draftsman,India,₹8 - ₹10 an hour,,India,India,India
Documents verification,"Vadapalani, Chennai, Tamil Nadu","₹15,000 - ₹30,000 a month",22500.0,Vadapalani,Chennai,Tamil Nadu
Software Developer Fresher,India,Not specified,,India,India,India
E-Commerce works agency with Amazon PPC Ad management,Remote,"₹12,000.00 - ₹33,807.10 a month",22903.55,Remote,Remote,Remote
Delivery Partner/Delivery Executive,"Manipala, Karnataka","₹20,000 - ₹45,000 a month",32500.0,,Manipala,Karnataka
Store & Purchase Executive,"Durgapur, West Bengal","₹20,000 - ₹40,000 a month",30000.0,,Durgapur,West Bengal
Account Executive,"Muvattupuzha, Kerala","₹12,000 - ₹60,000 a month",36000.0,,Muvattupuzha,Kerala
Software Trainee,"Pollachi H.O, Tamil Nadu",Not specified,,,Pollachi H.O,Tamil Nadu
Need female graduates to train school student in Bandel,"Hugli, West Bengal","₹15,000 - ₹18,000 a month",16500.0,,Hugli,West Bengal
Billing Executive,"Idukki, Kerala","₹15,000 - ₹21,000 a month",18000.0,,Idukki,Kerala
Hotel Management Trainee,"Kottayam, Kerala","₹20,000 - ₹30,000 a month",25000.0,,Kottayam,Kerala
FACULTY WANTED - COMMERCE,"Pollachi, Tamil Nadu","₹18,000 - ₹45,000 a month",31500.0,,Pollachi,Tamil Nadu
Project Manager,Remote,"From ₹25,000 a month",,Remote,Remote,Remote
Editor,"Bengaluru, Karnataka","Up to ₹4,00,000 a year",,,Bengaluru,Karnataka
Front Office,"Kochi, Kerala","₹20,000 - ₹25,000 a month",22500.0,,Kochi,Kerala
RTO Executive,"Erode, Tamil Nadu","₹16,000 - ₹20,000 a month",18000.0,,Erode,Tamil Nadu
HR Co-ordinator,"Thrissur, Kerala","₹12,000 - ₹15,000 a month",13500.0,,Thrissur,Kerala
Content Writers - Part Time,"Hubli, Karnataka",Not specified,,,Hubli,Karnataka
Video Editor,Remote,"₹5,000 - ₹7,000 a month",6000.0,Remote,Remote,Remote
Delivery Partner/Delivery Executive,"Kochi, Kerala","₹15,000 - ₹45,000 a month",30000.0,,Kochi,Kerala
Fresher Software engineer at Technopark,"Thiruvananthapuram, Kerala","₹9,000 - ₹12,000 a month",10500.0,,Thiruvananthapuram,Kerala
AWS intern,Remote,Not specified,,Remote,Remote,Remote
Video Editing Intern,Remote,"₹4,000 - ₹5,000 a month",4500.0,Remote,Remote,Remote
Google Ads Executive(fresher/experience),"Ambli, Ahmedabad, Gujarat","Up to ₹35,000 a month",,Ambli,Ahmedabad,Gujarat
JET - Fresher Diploma Engineer(Mechanical/Fabrication/Production),"Surat, Gujarat","₹2,00,000 - ₹3,00,000 a year",250000.0,,Surat,Gujarat
Executive Diploma Trainee,"Bengaluru, Karnataka",Not specified,,,Bengaluru,Karnataka
tellecaller,"Shimla, Himachal Pradesh","₹18,569 - ₹27,467 a month",23018.0,,Shimla,Himachal Pradesh
Supervisors/Incharges,"Pudukkottai, Tamil Nadu",Not specified,,,Pudukkottai,Tamil Nadu
Junior Business Analyst,"Udumalaippettai, Tamil Nadu","Up to ₹10,000 a month",,,Udumalaippettai,Tamil Nadu
Computer Faculty,Remote,"From ₹10,000 a month",,Remote,Remote,Remote
Process Associate,"Bhubaneswar, Orissa","₹1,00,000 - ₹2,20,000 a year",160000.0,,Bhubaneswar,Orissa
Fresher IT Software Training in Infopark,"Kochi, Kerala","₹9,000 - ₹15,000 a month",12000.0,,Kochi,Kerala
Hotel Management Trainee,"Thiruvananthapuram, Kerala","₹24,000 - ₹32,000 a month",28000.0,,Thiruvananthapuram,Kerala
Kyc Verification Executive Fresher,"Naraina, Delhi, Delhi",Not specified,,Naraina,Delhi,Delhi
Video Editor,Remote,"₹10,000 - ₹15,000 a month",12500.0,Remote,Remote,Remote
Business Development Associate,"Bengaluru, Karnataka","₹4,50,000 - ₹5,00,000 a year",475000.0,,Bengaluru,Karnataka
Hindi Content Writer Intern.,Remote,"₹10,000 a month",10000.0,Remote,Remote,Remote
Digital Marketing Intern,Remote,"₹5,000 - ₹6,000 a month",5500.0,Remote,Remote,Remote
Delivery Partner/Delivery Executive,"Mangalore, Karnataka","₹20,000 - ₹60,000 a month",40000.0,,Mangalore,Karnataka
Social Media Intern (Remote),Remote,"₹4,900 - ₹5,000 a month",4950.0,Remote,Remote,Remote
Summer Internship Programme,"Mohali, Punjab","From ₹10,000 a month",,,Mohali,Punjab
Wanted female office assistants,"Gandhipuram, Coimbatore, Tamil Nadu","From ₹17,000 a month",,Gandhipuram,Coimbatore,Tamil Nadu
UI/UX Freshers (2024),Remote,"₹5,00,000 a year",500000.0,Remote,Remote,Remote
Graphic Designer Internship,Remote,"₹7,000 - ₹10,000 a month",8500.0,Remote,Remote,Remote
Trainee,"Rampur, Uttar Pradesh",Not specified,,,Rampur,Uttar Pradesh
Digital Marketing Intern/Fresher,Delhi,"Up to ₹10,000 a month",,Delhi,Delhi,Delhi
Data Entry Operators,Delhi,Not specified,,Delhi,Delhi,Delhi
Content Creator Intern,Remote,"₹5,000 - ₹10,000 a month",7500.0,Remote,Remote,Remote
QA/QC Trainee,"Vadodara, Gujarat",Not specified,,,Vadodara,Gujarat
Document verification,"Nesapakkam, Chennai, Tamil Nadu","₹15,000 a month",15000.0,Nesapakkam,Chennai,Tamil Nadu
Digital Marketing Manager,Remote,"₹32,500 - ₹36,500 a month",34500.0,Remote,Remote,Remote
Freshers - Delhi,"Delhi, Delhi","₹7,50,000 a year",750000.0,,Delhi,Delhi
QA Engineer Fresher,"Pune, Maharashtra","₹20,000 - ₹30,000 a month",25000.0,,Pune,Maharashtra
Social Media Intern,Remote,"₹8,086.00 - ₹22,129.77 a month",15107.885,Remote,Remote,Remote
Receptionist Front Desk,"Delhi, Delhi","From ₹35,000 a month",,,Delhi,Delhi
Derivatives Trader,Delhi,Not specified,,Delhi,Delhi,Delhi
Document verification fresher apply now,"Gurugram, Haryana","₹11,109.96 - ₹32,719.16 a month",21914.559999999998,,Gurugram,Haryana
Technical Support Engineer,"Bengaluru, Karnataka","₹24,000 - ₹43,000 a month",33500.0,,Bengaluru,Karnataka
Freshers / Internship,"Pune, Maharashtra",Not specified,,,Pune,Maharashtra
Shipment /Pricing/ Documentation Executive - (Freshers can apply),"Tambaram West, Chennai, Tamil Nadu",Not specified,,Tambaram West,Chennai,Tamil Nadu
Fresher software tester internship,"Kochi, Kerala","₹10,000 - ₹15,000 a month",12500.0,,Kochi,Kerala
Fresher Engineer,"Pune, Maharashtra",Not specified,,,Pune,Maharashtra
Python - Fresher,"Pune, Maharashtra",Not specified,,,Pune,Maharashtra
Graduate Student,"Kochi, Kerala","₹10,000 - ₹15,000 a month",12500.0,,Kochi,Kerala
FRESHERS BOOTCAMP Job oriented Program,Remote,Not specified,,Remote,Remote,Remote
Project Manager,"Madurai, Tamil Nadu","₹15,000 - ₹35,000 a month",25000.0,,Madurai,Tamil Nadu
Cyber Security Trainee,India,"₹20,000 a month",20000.0,India,India,India
SEO Intern/Trainee,Remote,Not specified,,Remote,Remote,Remote
Corporate Assistant - Freshers,"Banaswadi, Bengaluru, Karnataka",Not specified,,Banaswadi,Bengaluru,Karnataka
Trainee Software Developer Fresher,"Vadodara, Gujarat",Not specified,,,Vadodara,Gujarat
TRAINEE ENGINEER- NETWORK SECURITY,"Bengaluru, Karnataka","₹4,00,000 a year",400000.0,,Bengaluru,Karnataka
IT fresher(Trainee engineer),"Bengaluru, Karnataka","₹2,50,000 - ₹3,00,000 a year",275000.0,,Bengaluru,Karnataka
SEO Executive,Remote,"₹5,000 - ₹8,000 a month",6500.0,Remote,Remote,Remote
Trainee - Junior Data Analyst,"Coimbatore, Tamil Nadu",Not specified,,,Coimbatore,Tamil Nadu
Java Fresher,Karnataka,Not specified,,Karnataka,Karnataka,Karnataka
Academic Advisor (Work from Home),"Perumbavoor, Kerala","₹12,000 - ₹25,000 a month",18500.0,,Perumbavoor,Kerala
Research Analyst (Fresher),"Noida, Uttar Pradesh","₹3,50,000 a year",350000.0,,Noida,Uttar Pradesh
Social Media Manager,Remote,"₹6,500 - ₹17,000 a month",11750.0,Remote,Remote,Remote
QA Fresher,"Ahmedabad, Gujarat","Up to ₹2,50,000 a year",,,Ahmedabad,Gujarat
Google Ads Specialist,"Ahmedabad, Gujarat","₹4,00,000 - ₹7,00,000 a year",550000.0,,Ahmedabad,Gujarat
Alt-Text Writer - General,Remote,"₹20,000 - ₹25,000 a month",22500.0,Remote,Remote,Remote
Talent Acquisition Specialist- Freshers,Remote,Not specified,,Remote,Remote,Remote
Accounts Assistant,"Pollachi, Tamil Nadu","From ₹15,000 a month",,,Pollachi,Tamil Nadu
Graduate Trainee (full Time),Goa,"₹3,25,000 - ₹4,75,000 a year",400000.0,Goa,Goa,Goa
Voice Process Trainee,Remote,"₹10,000 - ₹25,000 a month",17500.0,Remote,Remote,Remote
Quality Engineer Trainee,"Bommasandra Industrial Estate, Bengaluru, Karnataka","₹4,00,000 a year",400000.0,Bommasandra Industrial Estate,Bengaluru,Karnataka
freshers,"Aruppukkottai, Tamil Nadu","₹7,000 - ₹10,000 a month",8500.0,,Aruppukkottai,Tamil Nadu
Finance Intern,Remote,"₹10,000 - ₹20,000 a month",15000.0,Remote,Remote,Remote
HR Recruiter,Remote,"₹10,000 - ₹15,000 a month",12500.0,Remote,Remote,Remote
Power BI – Fresher,"Mumbai, Maharashtra",Not specified,,,Mumbai,Maharashtra
Field Officer,"Kokrajhar, Assam","₹15,000 a month",15000.0,,Kokrajhar,Assam
HR Executive Fresher,Remote,"From ₹9,306.88 a month",,Remote,Remote,Remote
Jewel Data Entry,"Kavundampalayam, Coimbatore, Tamil Nadu","₹10,000 - ₹17,000 a month",13500.0,Kavundampalayam,Coimbatore,Tamil Nadu
Operations Co-ordinator,"Kottayam, Kerala","₹15,000 - ₹20,000 a month",17500.0,,Kottayam,Kerala
Data Analyst,"Tambaram, Chennai, Tamil Nadu","₹18,000 - ₹36,000 a month",27000.0,Tambaram,Chennai,Tamil Nadu
Fresher opening for Manual Testing,"Ashapur, Varanasi, Uttar Pradesh","₹10,161.00 - ₹30,193.25 a month",20177.125,Ashapur,Varanasi,Uttar Pradesh
Quality Analyst,"Kottivakkam, Chennai, Tamil Nadu","₹17,800 - ₹35,900 a month",26850.0,Kottivakkam,Chennai,Tamil Nadu
Production Fresher,"Chakan, Pune, Maharashtra","₹20,000 - ₹25,000 a month",22500.0,Chakan,Pune,Maharashtra
GET (Graduate Engineer Trainee),"Bengaluru, Karnataka","₹1,00,000 - ₹1,20,000 a year",110000.0,,Bengaluru,Karnataka
jewellery cad designer,Remote,"₹15,000 - ₹30,000 a month",22500.0,Remote,Remote,Remote
IT Recruiters – Freshers,"Bengaluru, Karnataka",Not specified,,,Bengaluru,Karnataka
Factory Helpers / Helpers,"Bengaluru, Karnataka","₹14,700 - ₹20,650 a month",17675.0,,Bengaluru,Karnataka
Fresher Software Developer,"Gadarwara, Madhya Pradesh",Not specified,,,Gadarwara,Madhya Pradesh
Project Manager,"Bengaluru, Karnataka",Not specified,,,Bengaluru,Karnataka
Data Analyst,"Saidapet, Chennai, Tamil Nadu","₹17,500 - ₹30,000 a month",23750.0,Saidapet,Chennai,Tamil Nadu
TEACHER,"Cannanore, Kerala","₹10,000 - ₹30,000 a month",20000.0,,Cannanore,Kerala
Hybrid Mobile App Developer,"Kuzhittura, Tamil Nadu","₹8,000 - ₹35,000 a month",21500.0,,Kuzhittura,Tamil Nadu
Fellow - GI-HPB Surgery,"Kolkata, West Bengal",Not specified,,,Kolkata,West Bengal
Digital and AI Marketing Service Executive,Remote,"₹25,000 - ₹60,000 a month",42500.0,Remote,Remote,Remote
Freshers and Experience can apply,"Patan, Gujarat","₹12,000 - ₹35,000 a month",23500.0,,Patan,Gujarat
Remote IT Talent Sourcer (Fresher),Remote,Not specified,,Remote,Remote,Remote
Freelance Contributor,Remote,"₹2,000 - ₹5,000 a month",3500.0,Remote,Remote,Remote
Freelance Recruiter,Remote,"Up to ₹42,000 a month",,Remote,Remote,Remote
Customer Service Executive,"Whitefield, Bengaluru, Karnataka","₹2,50,000 - ₹3,80,000 a year",315000.0,Whitefield,Bengaluru,Karnataka
Process Associates – BPO Non-voice,"Coimbatore, Tamil Nadu",Not specified,,,Coimbatore,Tamil Nadu
Developer Trainee,"Cannanore, Kerala",Not specified,,,Cannanore,Kerala
Flutter Intern,"Padmanabhapuram, Tamil Nadu",Not specified,,,Padmanabhapuram,Tamil Nadu
Delivery Partner/Delivery Executive,"Madurai, Tamil Nadu","₹15,000 - ₹45,000 a month",30000.0,,Madurai,Tamil Nadu
Management Trainee,Remote,"₹5,00,000 - ₹8,00,000 a year",650000.0,Remote,Remote,Remote
Visa submission officer - Operations,"Puducherry, Puducherry","₹19,000 - ₹20,000 a month",19500.0,,Puducherry,Puducherry
Intern/ Trainee Mobile Development,"Delhi, Delhi",Not specified,,,Delhi,Delhi
Drug Safety Associate,"Nashik, Maharashtra","₹28,086.00 - ₹40,714.29 a month",34400.145000000004,,Nashik,Maharashtra
MEP Supervisor,"Chennai, Tamil Nadu","₹15,000 - ₹30,000 a month",22500.0,,Chennai,Tamil Nadu
Accounts Assistant,"Calicut, Kerala",Not specified,,,Calicut,Kerala
Fresher Mern Stack Developer,"Kochi, Kerala","₹10,000 - ₹13,000 a month",11500.0,,Kochi,Kerala
Data Entry Operator/Computer Operator,"Thiruvananthapuram, Kerala","₹14,000 - ₹16,000 a month",15000.0,,Thiruvananthapuram,Kerala
Delivery Partner/Delivery Executive,"Thrissur, Kerala","₹15,000 - ₹45,000 a month",30000.0,,Thrissur,Kerala
Artificial Intelligence Researcher - Freshers,"Banaswadi, Bengaluru, Karnataka",Not specified,,Banaswadi,Bengaluru,Karnataka
BCA Fresher,"Bellandur, Bengaluru, Karnataka","₹2,00,000 - ₹4,00,000 a year",300000.0,Bellandur,Bengaluru,Karnataka
TRAINEE ENGINEER,"Thiruvananthapuram, Kerala",Not specified,,,Thiruvananthapuram,Kerala
HR Internship,"Bengaluru, Karnataka","₹5,000 - ₹10,000 a month",7500.0,,Bengaluru,Karnataka
Product Intern,Remote,Not specified,,Remote,Remote,Remote
Research Associate,"Kharadi, Pune, Maharashtra","₹20,000 - ₹40,000 a month",30000.0,Kharadi,Pune,Maharashtra
Jr. PHP Developer (Fresher with 3-6 months training in PHP),"Mohali, Punjab","₹10,000 - ₹25,000 a month",17500.0,,Mohali,Punjab
Service Engineer - Fresher (ITI or Diploma or Any Degree),"Hyderabad, Telangana","₹18,000 - ₹25,000 a month",21500.0,,Hyderabad,Telangana
MBA Fresher,"Dharwad District, Karnataka","₹10,000 - ₹15,000 a month",12500.0,,Dharwad District,Karnataka
Vacancy For Fresher - Nathdwara Rajasthan,"Rajsamand, Rajasthan","₹12,000 - ₹14,000 a month",13000.0,,Rajsamand,Rajasthan
Billing Manager,"Ramanathapuram, Tamil Nadu","₹6,500 - ₹8,500 a month",7500.0,,Ramanathapuram,Tamil Nadu
SALES & GODOWN WORK,"Thiruvarur, Tamil Nadu","₹15,000 - ₹25,000 a month",20000.0,,Thiruvarur,Tamil Nadu
Business Development,Remote,"From ₹30,000 a month",,Remote,Remote,Remote
Quality Analyst / Software Tester / Manual Tester,Delhi,Not specified,,Delhi,Delhi,Delhi
Immediate hiring for freshers,"Coimbatore, Tamil Nadu","From ₹10,000 a month",,,Coimbatore,Tamil Nadu
HR Recruiter (IT/Non IT) Freshers,"Bengaluru, Karnataka","₹2,50,000 a year",250000.0,,Bengaluru,Karnataka
Sales Executive- Freshers can apply,"Coimbatore, Tamil Nadu","₹15,000 - ₹20,000 a month",17500.0,,Coimbatore,Tamil Nadu
Coding Freshers,India,Not specified,,India,India,India
Data Mining (Freshers from Nagpur Location Only),"Nagpur, Maharashtra","₹8,500 - ₹12,000 a month",10250.0,,Nagpur,Maharashtra
Power App Trainee (Freshers),"Thiruvananthapuram, Kerala","₹12,000 - ₹25,000 a month",18500.0,,Thiruvananthapuram,Kerala
Technical fresher,"Noida, Uttar Pradesh",Not specified,,,Noida,Uttar Pradesh
Data Entry Operator Fresher,"Udyog Bhawan, Delhi, Delhi","₹16,000 - ₹20,000 a month",18000.0,Udyog Bhawan,Delhi,Delhi
Medical Biller - DME USA,"Delhi, Delhi","₹20,000 a month",20000.0,,Delhi,Delhi
Logistics Executive,"Kochi, Kerala",Not specified,,,Kochi,Kerala
Area Executive (Agri / Milk Procurement),"Bijawar, Madhya Pradesh",Not specified,,,Bijawar,Madhya Pradesh
Full Stack Development Intern,"Lucknow, Uttar Pradesh","Up to ₹3,00,000 a year",,,Lucknow,Uttar Pradesh
Data Entry Operator,"Balasore, Orissa",Not specified,,,Balasore,Orissa
Marketing Intern,"Ramanathapuram, Tamil Nadu","₹8,000 - ₹10,000 a month",9000.0,,Ramanathapuram,Tamil Nadu
Management Trainee- Investments & Life Insurance for Australian Shift (Vadodara Only),"Vadodara, Gujarat","₹17,000 - ₹30,000 a month",23500.0,,Vadodara,Gujarat
