Job Title,Location,Salary,Monthly Salary,Locality,City,State
Data entry fresher apply now,"Noida, Uttar Pradesh","₹9,121.02 - ₹36,967.77 a month",23044.394999999997,,Noida,Uttar Pradesh
Personal assistant,"Delhi, Delhi","₹30,000 - ₹35,000 a month",32500.0,,Delhi,Delhi
Greenpeace NGO - Fundraiser,"Bengaluru, Karnataka","₹27,000 - ₹30,000 a month",28500.0,,Bengaluru,Karnataka
Fresher_Mumbai_Bhartiyavidya peeth,"Mumbai, Maharashtra",Not specified,,,Mumbai,Maharashtra
Programmer,"Ashok Vihar, Delhi, Delhi","₹22,000 - ₹25,000 a month",23500.0,Ashok Vihar,Delhi,Delhi
Freshers - Content writter,"Chinna Chokkikulam, Madurai, Tamil Nadu","₹10,000 - ₹15,000 a month",12500.0,Chinna Chokkikulam,Madurai,Tamil Nadu
Receptionist,"Thrissur, Kerala",Not specified,,,Thrissur,Kerala
Service Engineer( Freshers can apply),"Coimbatore, Tamil Nadu","₹12,000 - ₹25,000 a month",18500.0,,Coimbatore,Tamil Nadu
Business Development Associate,"Bengaluru, Karnataka","₹18,000 - ₹28,000 a month",23000.0,,Bengaluru,Karnataka
Junior Software Engineer,"Chennai, Tamil Nadu","From ₹2,14,538.36 a year",,,Chennai,Tamil Nadu
Wanted Freshers from Nagamalai Pudukottai and nearby areas,"Madurai, Tamil Nadu","₹8,000 - ₹10,000 a month",9000.0,,Madurai,Tamil Nadu
Duty Officer,"Kochi, Kerala","₹18,000 - ₹23,000 a month",20500.0,,Kochi,Kerala
Front Office Executive,"Sholinghur, Tamil Nadu","From ₹16,000 a month",,,Sholinghur,Tamil Nadu
Fresher Operations Analyst (Construction),"Bengaluru, Karnataka","₹5,50,000 - ₹6,00,000 a year",575000.0,,Bengaluru,Karnataka
Flutter Developer Intern,Remote,"₹13,192.39 - ₹62,082.66 a month",37637.525,Remote,Remote,Remote
Australian Accounting - Fresher,"Ahmedabad, Gujarat","₹15,000 - ₹50,000 a month",32500.0,,Ahmedabad,Gujarat
Accounts Assistant,"Kollam, Kerala","₹12,000 - ₹15,000 a month",13500.0,,Kollam,Kerala
Female Kannada Telecalling Associate,"Shimoga, Karnataka",Not specified,,,Shimoga,Karnataka
Trainee Application Support Executive (WFH),"Pune, Maharashtra","₹10,000 - ₹15,000 a month",12500.0,,Pune,Maharashtra
freshers Intern,"Amravati, Maharashtra",Not specified,,,Amravati,Maharashtra
Pay Per Click / Google Adwords Expert / Performance Marketing,"Okhla, Delhi, Delhi",Not specified,,Okhla,Delhi,Delhi
Marketing Assistant,Remote,"₹15,000 - ₹20,000 a month",17500.0,Remote,Remote,Remote
Ticketing Executive,"Kurukshetra, Haryana","₹10,000 - ₹22,000 a month",16000.0,,Kurukshetra,Haryana
Quality Analyst,"Saravanampatti, Coimbatore, Tamil Nadu",Not specified,,Saravanampatti,Coimbatore,Tamil Nadu
Software Trainee,"Chennai, Tamil Nadu","From ₹3,00,000 a year",,,Chennai,Tamil Nadu
Scientific Analyst - Trainee,Remote,Not specified,,Remote,Remote,Remote
Business Development Associate (BDA),"Peelamedu, Coimbatore, Tamil Nadu","₹12,000 - ₹25,000 a month",18500.0,Peelamedu,Coimbatore,Tamil Nadu
Trainee Software Engineer,"Bengaluru, Karnataka",Not specified,,,Bengaluru,Karnataka
Student Counsellor,"Kochi, Kerala","₹15,000 - ₹30,000 a month",22500.0,,Kochi,Kerala
Quality Control - Trainee,"Verna, Goa",Not specified,,,Verna,Goa
Cast Member,"Tenkasi, Tamil Nadu","₹1,000 - ₹5,000 a day",3000.0,,Tenkasi,Tamil Nadu
Accounts Assistant,"Borivali East, Mumbai, Maharashtra","₹10,000 - ₹20,000 a month",15000.0,Borivali East,Mumbai,Maharashtra
Front Office,"Chamba, Himachal Pradesh","₹20,000 - ₹25,000 a month",22500.0,,Chamba,Himachal Pradesh
Germany Physiotherapist,"Noida, Uttar Pradesh","₹2,00,000 a month",200000.0,,Noida,Uttar Pradesh
Vacancy for BA/BBA/BCA/BSc Fresher graduates,"Baddi, Himachal Pradesh","₹1,00,000 - ₹1,50,000 a year",125000.0,,Baddi,Himachal Pradesh
Packaging- Technical Trainee,"Jammu, Jammu and Kashmir",Not specified,,,Jammu,Jammu and Kashmir
Data Entry Operator,Delhi,Not specified,,Delhi,Delhi,Delhi
Pick Packer,"Pappanaickenpalayam, Coimbatore, Tamil Nadu","₹7,000 - ₹11,000 a month",9000.0,Pappanaickenpalayam,Coimbatore,Tamil Nadu
Office Work Experience,"Samastipur, Bihar","From ₹10,000 a month",,,Samastipur,Bihar
Graduate Trainee,"Noida, Uttar Pradesh",Not specified,,,Noida,Uttar Pradesh
Quality Control,"Borivali East, Mumbai, Maharashtra",Not specified,,Borivali East,Mumbai,Maharashtra
Front Office Executives and Interns,"Kottayam, Kerala","From ₹22,000 a month",,,Kottayam,Kerala
Cashier,"Perambalur, Tamil Nadu","From ₹15,000 a month",,,Perambalur,Tamil Nadu
Commis 3,"Vasai, Maharashtra","₹8,000 - ₹12,000 a month",10000.0,,Vasai,Maharashtra
Academic Advisor - Female,"Kochi, Kerala","₹20,000 - ₹26,000 a month",23000.0,,Kochi,Kerala
Ai developer/intern,"Belgachia, Kolkata, West Bengal","₹30,000 - ₹60,000 a month",45000.0,Belgachia,Kolkata,West Bengal
Accounts and HR Executive (Female Only),"Santacruz West, Mumbai, Maharashtra","Up to ₹12,000 a month",,Santacruz West,Mumbai,Maharashtra
Analyst - Research,"Gurugram, Haryana",Not specified,,,Gurugram,Haryana
Diploma Trainee,"Chhati, Chhattisgarh","₹13,000 - ₹15,000 a month",14000.0,,Chhati,Chhattisgarh
Vacancy For Fresher Photography - Girnar Ropeway Gujarat,"Junagadh, Gujarat","₹12,000 - ₹14,000 a month",13000.0,,Junagadh,Gujarat
"CS Management Trainee (Financial Planning & Investment) Job Location:- Vadodara, Gujarat Only","Vadodara, Gujarat","₹10,000 - ₹27,000 a month",18500.0,,Vadodara,Gujarat
Life Insurance Advisor,"Cannanore, Kerala","₹25,000 - ₹50,000 a month",37500.0,,Cannanore,Kerala
Cashier,"Kollam, Kerala","₹12,000 - ₹15,000 a month",13500.0,,Kollam,Kerala
Research Analyst-(Entry level job for freshers),"Mohali, Punjab","₹7,000 - ₹10,000 a month",8500.0,,Mohali,Punjab
BE/MCA Fresher,"Indore, Madhya Pradesh",Not specified,,,Indore,Madhya Pradesh
Fresh Graduates,"Bengaluru, Karnataka",Not specified,,,Bengaluru,Karnataka
Personal Assistant,"Jaipura, Rajasthan","₹20,000 - ₹30,000 a month",25000.0,,Jaipura,Rajasthan
Graphic Designer - Fresher,"Madurai, Tamil Nadu",Not specified,,,Madurai,Tamil Nadu
Technical Graduate Apprentice - India UHR,"Bengaluru, Karnataka",Not specified,,,Bengaluru,Karnataka
Education Consultant,"Kasaragod, Kerala","₹12,000 - ₹25,000 a month",18500.0,,Kasaragod,Kerala
Warehouse Incharge,"Payyannur, Kerala","₹20,000 - ₹28,000 a month",24000.0,,Payyannur,Kerala
Research Trainee,"Denkanikota, Tamil Nadu",Not specified,,,Denkanikota,Tamil Nadu
Accessories Incharge,"Alleppey, Kerala","₹14,000 - ₹18,000 a month",16000.0,,Alleppey,Kerala
TRAINEE,Kerala,Not specified,,Kerala,Kerala,Kerala
Brand Collaborator,"Hyderabad, Telangana","₹15,000 - ₹20,000 a month",17500.0,,Hyderabad,Telangana
Trainee Digital(Freshers - BSc/BCA/MCA),Remote,"Up to ₹15,000 a month",,Remote,Remote,Remote
General Basic Workers,"Pudukkottai, Tamil Nadu",Not specified,,,Pudukkottai,Tamil Nadu
Medical Scribe,"Tenkasi, Tamil Nadu","₹10,000 - ₹12,000 a month",11000.0,,Tenkasi,Tamil Nadu
Data Analyst Trainee,"Visakhapatnam, Andhra Pradesh",Not specified,,,Visakhapatnam,Andhra Pradesh
ATM Service Engineer,"Salem, Tamil Nadu","₹18,000 - ₹24,000 a month",21000.0,,Salem,Tamil Nadu
Organic Chemist - Trainee - 2024,"Ahmedabad, Gujarat",Not specified,,,Ahmedabad,Gujarat
Organic Chemist - Trainee - 2024,"Ahmedabad, Gujarat",Not specified,,,Ahmedabad,Gujarat
Factory Incharge,"Thane, Maharashtra","₹40,000 - ₹65,000 a month",52500.0,,Thane,Maharashtra
Machine Learning,"Noida, Uttar Pradesh","₹18,000 - ₹30,000 a month",24000.0,,Noida,Uttar Pradesh
Graduate Trainee - Pickling,"Mahesana, Gujarat",Not specified,,,Mahesana,Gujarat
Off Campus Hiring for Fresher Batch 2023 - 24,"Mohali, Punjab","₹3,00,000 - ₹5,00,000 a year",400000.0,,Mohali,Punjab
Associate Trainee,"Indore, Madhya Pradesh",Not specified,,,Indore,Madhya Pradesh
Software Trainee Programmer,"Jubilee Hills, Hyderabad, Telangana",Not specified,,Jubilee Hills,Hyderabad,Telangana
Helper - Male Only,"Coimbatore, Tamil Nadu","₹8,000 - ₹12,000 a month",10000.0,,Coimbatore,Tamil Nadu
Graphic Designer,"Palghat, Kerala","From ₹9,598.81 a month",,,Palghat,Kerala
Technical Executive,"Bengaluru, Karnataka","₹30,000 - ₹40,000 a month",35000.0,,Bengaluru,Karnataka
Teaching & non Teaching,"Bikaner, Rajasthan","From ₹20,000 a month",,,Bikaner,Rajasthan
Data Entry Operator,"Bengaluru, Karnataka",Not specified,,,Bengaluru,Karnataka
Database Administrators,"Chennai, Tamil Nadu",Not specified,,,Chennai,Tamil Nadu
Trainee Associate,"Hyderabad, Telangana",Not specified,,,Hyderabad,Telangana
DMO,"Nizamabad, Telangana","₹40,000 - ₹50,000 a month",45000.0,,Nizamabad,Telangana
Web Designers,"Kochi, Kerala",Not specified,,,Kochi,Kerala
CA Fresher / Final Group (Pursuing),"Gwalior, Madhya Pradesh",Not specified,,,Gwalior,Madhya Pradesh
Personal Secretary,"Noida, Uttar Pradesh","₹75,000 - ₹80,000 a month",77500.0,,Noida,Uttar Pradesh
Anchor,"Kochi, Kerala","₹15,000 - ₹25,000 a month",20000.0,,Kochi,Kerala
Human Resource Intern,"Purasawalkam, Chennai, Tamil Nadu",Not specified,,Purasawalkam,Chennai,Tamil Nadu
Software Trainer,"Todupulai, Kerala","From ₹12,000 a month",,,Todupulai,Kerala
Modelling,"Delhi, Delhi","From ₹10,000 a day",,,Delhi,Delhi
Block Coordinator,"Kidwaipuri, Patna, Bihar","₹12,000 - ₹25,000 a month",18500.0,Kidwaipuri,Patna,Bihar
Assistant Professor / Associate Professor / Professor,Chandigarh,Not specified,,Chandigarh,Chandigarh,Chandigarh
Data Entry Operator/Computer Operator,"Raigarh, Chhattisgarh","₹10,000 - ₹20,000 a month",15000.0,,Raigarh,Chhattisgarh
Graduate Trainee,"Bengaluru, Karnataka","₹9,000 a month",9000.0,,Bengaluru,Karnataka
Computer staff - (Female) for kollam,"Kollam, Kerala","₹8,000 - ₹10,000 a month",9000.0,,Kollam,Kerala
HR Trainee,"Coimbatore, Tamil Nadu",Not specified,,,Coimbatore,Tamil Nadu
Assistant Professor,"Champa, Chhattisgarh","₹25,000 - ₹35,000 a month",30000.0,,Champa,Chhattisgarh
Hubli - Fresh Graduates for English Ad Design,"Hubli, Karnataka","₹11,150 - ₹25,000 a month",18075.0,,Hubli,Karnataka
Sales Associate,"Dehradun, Uttarakhand","₹18,000 - ₹21,000 a month",19500.0,,Dehradun,Uttarakhand
Media Intern (Admin & Teaching),"Nashik, Maharashtra","₹5,000 - ₹6,000 a month",5500.0,,Nashik,Maharashtra
Sound Engineer,"Navi Mumbai, Maharashtra",Not specified,,,Navi Mumbai,Maharashtra
Associate Trainee- Fresher,"Indore, Madhya Pradesh",Not specified,,,Indore,Madhya Pradesh
Computer Operator,"Mandvi, Gujarat","₹12,000 - ₹15,000 a month",13500.0,,Mandvi,Gujarat
Quality Assurance,"Borivali East, Mumbai, Maharashtra",Not specified,,Borivali East,Mumbai,Maharashtra
Data entry operater,"Vadapalani, Chennai, Tamil Nadu","₹15,000 - ₹25,000 a month",20000.0,Vadapalani,Chennai,Tamil Nadu
Brand Collaborator,"Bengaluru, Karnataka","₹15,000 - ₹20,000 a month",17500.0,,Bengaluru,Karnataka
Fresher Opportunity for the post of Mechanical Trainee Engineer,"Bengaluru, Karnataka",Not specified,,,Bengaluru,Karnataka
Admin,"Mysuru, Karnataka","Up to ₹20,000 a month",,,Mysuru,Karnataka
Fresher Full stack developer,"Kottayam, Kerala","₹9,000 - ₹13,000 a month",11000.0,,Kottayam,Kerala
TRAINEE,"Tanuku, Andhra Pradesh",Not specified,,,Tanuku,Andhra Pradesh
fresher electronics engineer,"Kochi, Kerala",Not specified,,,Kochi,Kerala
Assistant Supervisor,"Rajender Nagar, Delhi, Delhi","₹16,000 - ₹21,000 a month",18500.0,Rajender Nagar,Delhi,Delhi
Assistant Store Keeper,"Aluva, Kerala","₹12,000 - ₹17,500 a month",14750.0,,Aluva,Kerala
Field Information Officer,"Bhubaneswar, Orissa","₹20,000 - ₹25,000 a month",22500.0,,Bhubaneswar,Orissa
FEMALE OFFICE STAFF,"Kollam, Kerala",Not specified,,,Kollam,Kerala
Trainee,"Ahmedabad, Gujarat",Not specified,,,Ahmedabad,Gujarat
Intern / Trainee,"Pune, Maharashtra",Not specified,,,Pune,Maharashtra
IPQA Officer,"Kala Amb, Himachal Pradesh","From ₹20,000 a month",,,Kala Amb,Himachal Pradesh
Business Analyst (Fresher),"Chennai, Tamil Nadu",Not specified,,,Chennai,Tamil Nadu
Trainee Admission Officer,"Mysuru, Karnataka","₹3,00,000 - ₹6,00,000 a year",450000.0,,Mysuru,Karnataka
GET (Graduate Engineer Trainee),"Erode, Tamil Nadu","₹15,000 - ₹20,000 a month",17500.0,,Erode,Tamil Nadu
Trainee programmers,"Chennai, Tamil Nadu",Not specified,,,Chennai,Tamil Nadu
Trainee Environmental Specialist,"Hyderabad, Telangana",Not specified,,,Hyderabad,Telangana
Receptionist (Urgent),"Darjiling, West Bengal",Not specified,,,Darjiling,West Bengal
QA Game Tester,"Pune District, Maharashtra","₹18,000 a month",18000.0,,Pune District,Maharashtra
For fresher(IT Sales),"Madurai, Tamil Nadu","Up to ₹1,20,000.53 a year",,,Madurai,Tamil Nadu
Junior Associate,"Mysuru, Karnataka","₹17,000 - ₹19,000 a month",18000.0,,Mysuru,Karnataka
CAD Designer,"Ambattur, Chennai, Tamil Nadu","From ₹16,500 a month",,Ambattur,Chennai,Tamil Nadu
Behavioural Trainer- Fresher,"Bengaluru, Karnataka","₹18,000 - ₹20,000 a month",19000.0,,Bengaluru,Karnataka
Quality Analyst Intern,"Satellite, Ahmedabad, Gujarat","₹5,000 - ₹7,000 a month",6000.0,Satellite,Ahmedabad,Gujarat
Jr. Accounts Executive,"Kochi, Kerala",Not specified,,,Kochi,Kerala
AR Caller Trainee,"Coimbatore, Tamil Nadu","Up to ₹50,000 a month",,,Coimbatore,Tamil Nadu
Pizzahut Team member,"Devanhalli, Karnataka","₹15,500 - ₹20,800 a month",18150.0,,Devanhalli,Karnataka
Document Scanning,"Moshi, Pune, Maharashtra","From ₹12,000 a month",,Moshi,Pune,Maharashtra
"Proofreading, Quality Control & Copy Editing - Freshers Also Welcome","Coimbatore, Tamil Nadu","₹1,05,842.90 - ₹3,63,348.95 a year",234595.925,,Coimbatore,Tamil Nadu
QA Trainee,"Noida, Uttar Pradesh",Not specified,,,Noida,Uttar Pradesh
Pharma Freshers,"Mumbai Central, Mumbai, Maharashtra","₹2,50,000 - ₹3,50,000 a month",300000.0,Mumbai Central,Mumbai,Maharashtra
Human Resource,"Lucknow, Uttar Pradesh","₹3,00,000 - ₹8,00,000 a year",550000.0,,Lucknow,Uttar Pradesh
Project Billing Specialist,"Shivaji Nagar, Pune, Maharashtra","₹18,000 - ₹25,000 a month",21500.0,Shivaji Nagar,Pune,Maharashtra
Data Entry Intern,Remote,"₹2,000 - ₹4,000 a month",3000.0,Remote,Remote,Remote
Management Trainee(Financial Planning & Investments) (Job location:- Vadodara Only),"Vadodara, Gujarat","₹18,000 - ₹45,000 a month",31500.0,,Vadodara,Gujarat
Accounting Trainee,India,Not specified,,India,India,India
Programmer,"Kochi, Kerala",Not specified,,,Kochi,Kerala
Python Developer,Remote,Not specified,,Remote,Remote,Remote
Documentation(Freshers),"Kottayam, Kerala","Up to ₹18,000 a month",,,Kottayam,Kerala
Bouncer,"Mumbai, Maharashtra","₹25,000 - ₹35,000 a month",30000.0,,Mumbai,Maharashtra
International Business Development Executive,"Salem, Tamil Nadu",Not specified,,,Salem,Tamil Nadu
MEDICAL REPRESENTATIVE VACANCY,"Bolpur, West Bengal","₹15,000 - ₹20,000 a month",17500.0,,Bolpur,West Bengal
Programme Coordinator,"Kodungallur, Kerala","From ₹3,00,000 a year",,,Kodungallur,Kerala
Delivery Boy,"Kottayam, Kerala","₹15,000 - ₹25,000 a month",20000.0,,Kottayam,Kerala
Graduate Engineer Trainee (GET),"Tiruchchirappalli, Tamil Nadu",Not specified,,,Tiruchchirappalli,Tamil Nadu
3D Modeling Artist,"Kazhakoottam, Thiruvananthapuram, Kerala","₹20,000 a month",20000.0,Kazhakoottam,Thiruvananthapuram,Kerala
Virtual Scribe Trainee,"Hubli, Karnataka","₹30,000 - ₹35,000 a month",32500.0,,Hubli,Karnataka
INTERNSHIP -HR (NON-PAID),"Kochi, Kerala",Not specified,,,Kochi,Kerala
Executive - AO&CS,"Kochi, Kerala",Not specified,,,Kochi,Kerala
Delivery Partner/Delivery Executive,"Bengaluru, Karnataka","₹20,000 - ₹60,000 a month",40000.0,,Bengaluru,Karnataka
Data Analyst,"Chennai, Tamil Nadu","From ₹4,00,000 a year",,,Chennai,Tamil Nadu
Graduate Trainee,"Kochi, Kerala","₹15,000 - ₹20,000 a month",17500.0,,Kochi,Kerala
Business Analyst,"Saravanampatti, Coimbatore, Tamil Nadu",Not specified,,Saravanampatti,Coimbatore,Tamil Nadu
Data Entry Operator,"Nagercoil, Tamil Nadu","From ₹2,00,000 a year",,,Nagercoil,Tamil Nadu
Client Care Trainee,"Bengaluru, Karnataka",Not specified,,,Bengaluru,Karnataka
Database Administrator,"Chennai, Tamil Nadu","₹19,457.51 - ₹71,405.55 a month",45431.53,,Chennai,Tamil Nadu
Roto Artist,"Pune, Maharashtra",Not specified,,,Pune,Maharashtra
Trainee / Executive Medical Coding,"Salem, Tamil Nadu",Not specified,,,Salem,Tamil Nadu
HR recruitment officer,"Tiruppur, Tamil Nadu","₹20,000 - ₹25,000 a month",22500.0,,Tiruppur,Tamil Nadu
Assisstant Resource Manager_Construction Projects,"Bengaluru, Karnataka","Up to ₹18,000 a month",,,Bengaluru,Karnataka
Data Entry Operator (DEO),"INDERLOK, Delhi, Delhi","₹10,720.27 - ₹21,705.17 a month",16212.72,INDERLOK,Delhi,Delhi
Software Engineer Trainee,"Chennai, Tamil Nadu","₹3,60,000 - ₹4,00,000 a year",380000.0,,Chennai,Tamil Nadu
Hiring Graduates,"Tiruchchirappalli, Tamil Nadu","₹11,000 - ₹11,200 a month",11100.0,,Tiruchchirappalli,Tamil Nadu
HR Trainee,"Pune, Maharashtra","₹2,00,000 - ₹3,50,000 a month",275000.0,,Pune,Maharashtra
Social Media Influencer,Remote,"₹9,334.49 - ₹14,000.00 a month",11667.244999999999,Remote,Remote,Remote
Social media intern,Remote,Not specified,,Remote,Remote,Remote
Counsellor,Remote,Not specified,,Remote,Remote,Remote
HR TRAINEE,"Calicut, Kerala","₹15,000 - ₹18,000 a month",16500.0,,Calicut,Kerala
JOB DRIVE @ Trivandrum,"Thiruvananthapuram, Kerala","₹15,000 - ₹35,000 a month",25000.0,,Thiruvananthapuram,Kerala
Store Officer,"Todupulai, Kerala","₹10,000 - ₹20,000 a month",15000.0,,Todupulai,Kerala
Trainee Engineer Civil,"Thiruvananthapuram, Kerala",Not specified,,,Thiruvananthapuram,Kerala
Regulatory,"Borivali East, Mumbai, Maharashtra",Not specified,,Borivali East,Mumbai,Maharashtra
Trainee Research Assistant,India,Not specified,,India,India,India
Software Trainee,"Valasaravakkam, Chennai, Tamil Nadu",Not specified,,Valasaravakkam,Chennai,Tamil Nadu
General Manager,"Erode, Tamil Nadu","₹15,000 - ₹25,000 a month",20000.0,,Erode,Tamil Nadu
Billing Clerk,"Ganapathi, Coimbatore, Tamil Nadu","₹8,000 - ₹12,000 a month",10000.0,Ganapathi,Coimbatore,Tamil Nadu
Brand Promoter,"Edapalli, Kerala","₹5,000 - ₹20,000 a month",12500.0,,Edapalli,Kerala
Vacancy for Fresher Graduate 8O13927285,"Maldah, West Bengal","₹15,000 - ₹20,000 a month",17500.0,,Maldah,West Bengal
Diploma Trainee,"Hubli, Karnataka","₹16,000 - ₹20,000 a month",18000.0,,Hubli,Karnataka
Data Entry (Work From Office - Female- Fresher),"Chennai, Tamil Nadu","₹10,000 - ₹15,000 a month",12500.0,,Chennai,Tamil Nadu
Customer Success Associate,Remote,"₹15,000 a month",15000.0,Remote,Remote,Remote
Video Analyst Trainee - Fresher,"Bengaluru, Karnataka",Not specified,,,Bengaluru,Karnataka
Officer - AO&CS,"Kochi, Kerala",Not specified,,,Kochi,Kerala
HR Team,"Saravanampatti, Coimbatore, Tamil Nadu",Not specified,,Saravanampatti,Coimbatore,Tamil Nadu
Quality Analyst Fresher,"Sanjeeva Reddy Nagar, Hyderabad, Telangana","₹18,000 - ₹25,000 a month",21500.0,Sanjeeva Reddy Nagar,Hyderabad,Telangana
Facilitator,"Jaipur, Rajasthan",Not specified,,,Jaipur,Rajasthan
Analyst – Healthcare,"Bengaluru, Karnataka",Not specified,,,Bengaluru,Karnataka
Application Developer,"Perungudi, Chennai, Tamil Nadu","From ₹18,870 a month",,Perungudi,Chennai,Tamil Nadu
Ticketing Executive,"Nagpur, Maharashtra","₹8,000 - ₹20,000 a month",14000.0,,Nagpur,Maharashtra
Technical Analysts - Trainee,"Bandra, Mumbai, Maharashtra",Not specified,,Bandra,Mumbai,Maharashtra
Delivery Executive/Delivery Partner,Delhi,"₹18,000 - ₹35,000 a month",26500.0,Delhi,Delhi,Delhi
Freshers/TraineesRegister,"Noida, Uttar Pradesh",Not specified,,,Noida,Uttar Pradesh
Video Editor,Remote,Not specified,,Remote,Remote,Remote
Fresher Data Entry Operator (DEO),"JNU New Campus, Delhi, Delhi","₹13,200 - ₹19,000 a month",16100.0,JNU New Campus,Delhi,Delhi
Adonis Manufacturing Pvt Ltd ( Freshers Hiring Permanent ),"Sriperumpudur, Chennai, Tamil Nadu","₹15,000 - ₹20,000 a month",17500.0,Sriperumpudur,Chennai,Tamil Nadu
Sales Executive,"Dehradun, Uttarakhand","From ₹8,086 a month",,,Dehradun,Uttarakhand
Billing Executive,"Gopichettipalaiyam, Tamil Nadu","₹12,000 - ₹15,000 a month",13500.0,,Gopichettipalaiyam,Tamil Nadu
Internal Stock Audit,"Vellore, Tamil Nadu",Not specified,,,Vellore,Tamil Nadu
Trainee Mechanical,"Kochi, Kerala",Not specified,,,Kochi,Kerala
Research Assistant,"Nagercoil, Tamil Nadu","₹1,44,000 - ₹1,80,000 a year",162000.0,,Nagercoil,Tamil Nadu
Regional Language Content Writer (On-site Job),"Noida, Uttar Pradesh","₹18,000 - ₹25,000 a month",21500.0,,Noida,Uttar Pradesh
Hiring MBA Freshers,"Kochi, Kerala","₹5,000 - ₹18,000 a month",11500.0,,Kochi,Kerala
Management Trainee,"Mumbai, Maharashtra","₹5,00,000 - ₹7,00,000 a year",600000.0,,Mumbai,Maharashtra
